provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
formosa	pilagas	63	3977	59	1	8646	12746	12623
formosa	pilcomayo	487	21447	493	11	33846	56284	55293
formosa	pirane	388	16177	371	12	24824	41772	41001
formosa	ramon lista	51	1407	29	0	5930	7417	7337
jujuy	cochinoca	240	4370	224	4	2753	7591	7123
jujuy	dr. manuel belgrano	1812	108161	3571	93	61591	175228	169752
jujuy	el carmen	481	41559	937	31	24192	67200	65751
jujuy	humahuaca	83	5659	275	11	4677	10705	10336
jujuy	ledesma	412	25941	672	19	25288	52332	51229
jujuy	palpala	256	22750	692	25	14991	38714	37741
jujuy	rinconada	5	433	18	0	467	923	900
jujuy	san antonio	36	2890	102	4	1692	4724	4582
jujuy	san pedro	342	23681	689	32	26379	51123	50060
jujuy	santa barbara	70	4771	123	2	6792	11758	11563
jujuy	santa catalina	10	503	25	0	740	1278	1243
jujuy	tilcara	69	4503	186	5	4198	8961	8701
jujuy	tumbaya	17	1231	84	2	1293	2627	2524
jujuy	yavi	181	6728	308	12	5778	13007	12506
la pampa	atreuco	97	4626	148	13	2825	7709	7451
la pampa	caleu caleu	16	867	21	0	742	1646	1609
la pampa	capital	1172	35800	1486	29	35271	73758	71071
la pampa	catrilo	57	3275	83	2	2309	5726	5584
la pampa	chalileo	21	893	31	0	1018	1963	1911
la pampa	chapaleufu	99	5072	99	0	2851	8121	7923
la pampa	chical co	13	466	6	0	507	992	973
la pampa	conhelo	129	5650	170	0	4150	10099	9800
la pampa	guatrache	167	3880	64	0	1585	5696	5465
la pampa	hucal	106	3248	137	1	1783	5275	5031
la pampa	lihuel calel	3	113	1	0	80	197	193
la pampa	limay mahuida	5	146	3	0	141	295	287
la pampa	loventue	47	2939	100	2	2779	5867	5718
la pampa	maraco	638	25533	876	9	15853	42909	41386
la pampa	puelen	62	4267	120	0	2415	6864	6682
la pampa	quemu quemu	77	3795	112	1	1870	5855	5665
la pampa	rancul	97	3796	116	2	2961	6972	6757
la pampa	realico	160	7386	212	3	3964	11725	11350
la pampa	toay	160	6076	236	3	5093	11568	11169
la pampa	trenel	60	1992	48	4	1861	3965	3853
la pampa	utracan	144	6482	213	4	3865	10708	10347
la rioja	general angel v. penaloza	20	630	19	0	1124	1793	1754
la rioja	arauco	90	5227	116	5	4764	10202	9991
la rioja	capital	962	74777	1593	47	53537	130916	128314
la rioja	castro barros	36	1571	39	2	2588	4236	4159
la rioja	chamical	90	4840	129	11	4672	9742	9512
la rioja	chilecito	344	19481	364	14	13991	34194	33472
la rioja	coronel felipe varela	131	3105	84	0	3884	7204	6989
la rioja	famatina	72	1817	55	0	2388	4332	4205
la rioja	general belgrano	42	2437	53	0	2324	4856	4761
la rioja	general juan f. quiroga	51	1064	18	0	1430	2563	2494
la rioja	general lamadrid	20	507	9	0	951	1487	1458
la rioja	general ocampo	55	1570	29	0	3442	5096	5012
la rioja	general san martin	25	1073	43	0	1938	3079	3011
la rioja	independencia	15	598	20	0	1325	1958	1923
la rioja	rosario vera penaloza	75	3615	117	5	5416	9228	9031
la rioja	san blas de los sauces	31	1295	48	0	1459	2833	2754
la rioja	sanagasta	15	995	23	1	1566	2600	2561
la rioja	vinchina	22	645	22	0	1081	1770	1726
mendoza	capital	1493	52491	1516	47	19551	75098	72042
mendoza	general alvear	472	16854	483	21	9709	27539	26563
mendoza	godoy cruz	2068	83025	2879	61	32074	120107	115099
mendoza	guaymallen	2607	128158	4032	87	45268	180152	173426
mendoza	junin	447	21204	752	17	7470	29890	28674
mendoza	la paz	76	3839	85	2	3762	7764	7601
mendoza	las heras	1782	82988	3036	86	38995	126887	121983
mendoza	lavalle	369	15909	441	14	10635	27368	26544
mendoza	lujan de cuyo	1333	66872	1876	58	19960	90099	86832
mendoza	maipu	1696	85617	2632	57	31008	121010	116625
mendoza	malargue	322	11239	366	0	6079	18006	17318
mendoza	rivadavia	561	24649	754	14	10562	36540	35211
mendoza	san carlos	254	16289	430	6	5756	22735	22045
mendoza	san martin	1006	49468	1592	31	22220	74317	71688
mendoza	san rafael	1828	75745	2196	41	34229	114039	109974
mendoza	santa rosa	100	6233	164	1	5026	11524	11259
mendoza	tunuyan	398	24032	580	4	9089	34103	33121
mendoza	tupungato	255	15752	357	5	5057	21426	20809
misiones	25 de mayo	182	4905	13	1	7158	12259	12063
misiones	apostoles	285	16220	285	6	12090	28886	28310
misiones	cainguas	659	18116	205	7	15996	34983	34112
misiones	candelaria	295	10942	193	13	10357	21800	21299
misiones	capital	2320	135897	2297	83	81009	221606	216906
misiones	concepcion	81	2827	19	1	2788	5716	5615
misiones	eldorado	500	28197	558	17	23108	52380	51305
misiones	general manuel belgrano	285	13335	152	13	11637	25422	24972
misiones	guarani	724	20427	238	17	19817	41223	40244
misiones	iguazu	687	32454	459	13	22077	55690	54531
misiones	leandro n. alem	617	18365	295	3	13429	32709	31794
misiones	libertador general san martin	445	17955	221	5	12638	31264	30593
misiones	montecarlo	185	12070	187	13	10172	22627	22242
misiones	obera	1020	38783	430	9	30418	70660	69201
misiones	san ignacio	417	19064	216	6	17573	37276	36637
misiones	san javier	167	6630	68	1	6834	13700	13464
misiones	san pedro	333	6939	43	1	9546	16862	16485
neuquen	alumine	77	3203	225	6	2966	6477	6169
neuquen	anelo	93	6738	243	3	4321	11398	11059
neuquen	catan lil	8	304	32	3	813	1160	1117
neuquen	chos malal	135	5319	281	2	4592	10329	9911
neuquen	collon cura	33	1391	86	1	1507	3018	2898
neuquen	confluencia	3862	171343	8459	144	108266	292074	279609
neuquen	huiliches	164	6181	403	11	5330	12089	11511
neuquen	lacar	420	15496	933	16	8084	24949	23580
neuquen	loncopue	56	2330	202	0	2285	4873	4615
neuquen	los lagos	147	6088	297	15	2987	9534	9075
neuquen	minas	113	2613	263	0	2794	5783	5407
neuquen	norquin	48	1567	90	6	2035	3746	3602
neuquen	pehuenches	150	10118	335	11	6347	16961	16465
neuquen	picun leufu	36	1526	90	2	1711	3365	3237
neuquen	picunches	49	2868	144	2	1807	4870	4675
neuquen	zapala	311	16387	980	2	10177	27857	26564
rio negro	25 de mayo	96	3161	218	0	5419	8894	8580
rio negro	9 de julio	24	641	33	1	1319	2018	1960
rio negro	adolfo alsina	601	22773	1125	39	19819	44357	42592
rio negro	avellaneda	254	12868	589	3	10731	24445	23599
rio negro	bariloche	1595	44704	2680	65	44672	93716	89376
rio negro	conesa	44	2250	98	1	1805	4198	4055
rio negro	el cuy	17	1035	52	0	1399	2503	2434
rio negro	general roca	2779	127883	5900	53	94326	230941	222209
rio negro	norquinco	8	195	27	0	637	867	832
rio negro	pichi mahuida	107	5257	213	3	4104	9684	9361
rio negro	pilcaniyeu	108	2801	175	4	3171	6259	5972
rio negro	san antonio	213	10975	506	7	9841	21542	20816
rio negro	valcheta	35	1119	88	1	1571	2814	2690
salta	anta	265	16670	226	41	19515	36717	36185
salta	cachi	58	3135	81	4	2255	5533	5390
salta	cafayate	125	6200	151	19	4901	11396	11101
salta	capital	4153	226946	5748	525	117311	354683	344257
salta	cerrillos	332	21388	390	24	11816	33950	33204
salta	chicoana	133	9953	158	6	5520	15770	15473
salta	general guemes	240	17591	326	51	14322	32530	31913
salta	general jose de san martin	666	39615	747	71	56217	97316	95832
salta	guachipas	17	1375	24	4	948	2368	2323
salta	iruya	10	509	6	3	690	1218	1199
salta	la caldera	156	8229	117	19	4124	12645	12353
